"rf_cum_3_day","temperature","ws","deg_from_north","dow","working_days","hour","pre_peak_hour","pm10"
2.8,14.6000003815,2.5999999046,118,3,1,15,1,21.2999992371
0,14.5,2.5999999046,55,1,1,17,0,14.6999998093
21.6,12.6,2.8,122,7,0,0,0,7.9
0,10.6999998093,1.8999999762,14,4,1,22,0,47.4000015259
0,12.8000001907,2.5999999046,130,1,1,5,1,12.1999998093
0.2,33.9000015259,1.8999999762,177,2,1,15,1,50.2000007629
56,16.6,5.7,164,7,0,14,0,10.3
10.4,11.4,1.6,87,2,1,11,0,6.4
0,24.3999996185,2.9000000954,29,2,1,17,0,31.6000003815
0.6,11.8999996185,0.8999999762,5,4,1,5,1,33.9000015259
6.6,14.1,3.5,82,3,1,12,0,23.8
14.2,17.5,1.2999999523,83,6,0,22,0,11.6000003815
1.6,10.6000003815,2.7999999523,83,7,0,2,0,8.8999996185
56,16.2,5.3,162,7,0,15,1,15.5
0.2,6,1.5,25,7,0,2,0,8
0,22.7999992371,0.8999999762,157,4,1,16,1,70.5999984741
3,19.6000003815,1.2999999523,164,4,1,22,0,9.8000001907
0.6,9.6,0.4,104,6,0,5,1,6.7
0,23.7999992371,4.9000000954,170,7,0,12,0,32.7000007629
14.2,14,0.6999999881,32,7,0,6,1,15.1000003815
5.2,10.2,1.7,162,1,1,19,0,11.9
0,21.4,4.3,147,2,1,19,0,29.5
0.6,12.6000003815,1.6000000238,144,5,1,17,0,18.7000007629
7.2,17.1000003815,4.5,3,3,1,11,0,28.7999992371
3.4,14,2.0999999046,100,7,0,3,0,9.3000001907
3,23.7000007629,1.2999999523,52,2,1,18,0,11.3000001907
0.2,14.6000003815,1.7999999523,81,7,0,11,0,3.7999999523
0.2,14.5,0.6000000238,1,1,1,18,0,92.3000030518
0.2,16.6,1.6,153,1,1,2,0,9.1
0.2,15.1999998093,1.6000000238,143,7,0,12,0,11.3999996185
0.4,17.8,2,137,1,1,16,1,24.4
2.6,9.7,3.8,30,7,0,20,0,9.9
0,19.6,1,177,3,1,21,0,17.2
0,15.3,2.3,102,2,1,1,0,46.7
0,21.6,1.8,128,5,1,22,0,22.8
